"","GEM ID","Kingdom","Genus","Species.strain","Citation","Source","Filepath","Match criteria","Species of interest","pH sensitive","Temperature sensitive","Functional in COMETS?","db_name","cultivatedCrops","deciduousForest","dwarfScrub","emergentHerbaceousWetlands","evergreenForest","grasslandHerbaceous","mixedForest","pastureHay","sedgeHerbaceous","shrubScrub","woodyWetlands"
"11","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium aeschynomenes","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"12","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium forestalis","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"13","iYO844","Bacteria","Bacillus","subtilis subsp. subtilis str. 168",NA,"BiGG iYO844","/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml","Genus","Bacillus cereus","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"14","iBB1018","Bacteria","Bacillus","subtilis subsp. subtilis str. 168","Blazquez et al. 2023","github",NA,"Genus","Bacillus cereus","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"15","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium macuxiense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"16","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium daqingense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"17","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. AUGA SZCCT0176","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"18","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium viridifuturi","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"19","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium cosmicum","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"20","iHN637","Bacteria","Clostridium","ljungdahlii DSM 13528",NA,"BiGG iHN637","/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml","Genus","Clostridium pasteurianum","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"21","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. MOS002","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"22","iGC535","Bacteria","Nitrosomonas","europaea","Canto-Encalada et al 2022","https://github.com/cristalzucsd/Nitrosomonaseuropaea/tree/main/SBML_Models",NA,"Genus","Nitrosomonas sp. JL21","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"23","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. Rc3b","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"24","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. WSM471","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"25","iFC579","Bacteria","Nitrobacter","winogradskyi","Mellbye et al. 2018","Chaplen Github","/projectnb/talbot-lab-data/metabolic_models/curated_models/Nwino/","Genus","Nitrobacter vulgaris","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"26","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. cir1","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"27","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium pachyrhizi","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"28","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium arachidis","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"29","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. CCBAU 51765","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"30","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. DOA9","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"31","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium hipponense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"32","iYO844","Bacteria","Bacillus","subtilis subsp. subtilis str. 168",NA,"BiGG iYO844","/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml","Genus","Bacillus sp. BA3","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"33","iBB1018","Bacteria","Bacillus","subtilis subsp. subtilis str. 168","Blazquez et al. 2023","github",NA,"Genus","Bacillus sp. BA3","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"34","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. ORS 375","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"35","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. CCBAU 53351","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"36","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium glycinis","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"37","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. CCBAU 53338","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"38","iHN637","Bacteria","Clostridium","ljungdahlii DSM 13528",NA,"BiGG iHN637","/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml","Genus","Clostridium sp.","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"39","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium nitroreducens","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"40","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium ivorense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"41","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. C9","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"42","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. LTSP849","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"43","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. WSM1417","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"44","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium ottawaense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"45","iAA1300","Bacteria","Azotobacter",NA,"Alleman et al. 2021","github","/projectnb/talbot-lab-data/metabolic_models/curated_models/iAA1300/","Genus","Azotobacter chroococcum","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"46","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium vignae","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"47","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. ORS 278","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"48","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Species","Bradyrhizobium diazoefficiens","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"49","iFC579","Bacteria","Nitrobacter","winogradskyi","Mellbye et al. 2018","Chaplen Github","/projectnb/talbot-lab-data/metabolic_models/curated_models/Nwino/","Genus","Nitrobacter sp. 62-23","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"50","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. KBS0727","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"51","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium yuanmingense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"52","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. WSM1253","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"53","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. URHD0069","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"54","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium symbiodeficiens","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"55","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. PSBB068","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"56","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium cajani","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"57","iYO844","Bacteria","Bacillus","subtilis subsp. subtilis str. 168",NA,"BiGG iYO844","/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml","Genus","Bacillus sp. AZ43","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"58","iBB1018","Bacteria","Bacillus","subtilis subsp. subtilis str. 168","Blazquez et al. 2023","github",NA,"Genus","Bacillus sp. AZ43","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"59","iGC535","Bacteria","Nitrosomonas","europaea","Canto-Encalada et al 2022","https://github.com/cristalzucsd/Nitrosomonaseuropaea/tree/main/SBML_Models",NA,"Genus","Nitrosomonas mobilis","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"60","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. Y36","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"61","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium icense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"62","iHN637","Bacteria","Clostridium","ljungdahlii DSM 13528",NA,"BiGG iHN637","/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml","Genus","Clostridium estertheticum","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"63","iGC535","Bacteria","Nitrosomonas","europaea","Canto-Encalada et al 2022","https://github.com/cristalzucsd/Nitrosomonaseuropaea/tree/main/SBML_Models",NA,"Genus","Nitrosomonas marina","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"64","iHN637","Bacteria","Clostridium","ljungdahlii DSM 13528",NA,"BiGG iHN637","/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml","Genus","Clostridium sp. UBA4746","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"65","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium retamae","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"66","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. CCBAU 43298","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"67","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium genosp. L","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"68","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. Ai1a-2","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"69","iYO844","Bacteria","Bacillus","subtilis subsp. subtilis str. 168",NA,"BiGG iYO844","/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml","Genus","Bacillus sp. OV166","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"70","iBB1018","Bacteria","Bacillus","subtilis subsp. subtilis str. 168","Blazquez et al. 2023","github",NA,"Genus","Bacillus sp. OV166","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"71","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium genosp. SA-3","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"72","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. CCBAU 53421","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"73","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium guangdongense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"74","iHN637","Bacteria","Clostridium","ljungdahlii DSM 13528",NA,"BiGG iHN637","/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml","Genus","Clostridium lacusfryxellense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"75","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. RP6","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"76","iFC579","Bacteria","Nitrobacter","winogradskyi","Mellbye et al. 2018","Chaplen Github","/projectnb/talbot-lab-data/metabolic_models/curated_models/Nwino/","Species","Nitrobacter winogradskyi","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"77","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium huanghuaihaiense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"78","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium jicamae","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"79","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium erythrophlei","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"80","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. AUGA SZCCT0158","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"81","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. YR681","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"82","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp.","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"83","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium australiense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"84","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. JYMT SZCCT0428","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"85","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. LTSP885","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"86","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium lablabi","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"87","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium manausense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
