GEM_ID,Kingdom,Phylum,Phylum_prev,Subclass,Genus,Species/strain,Citation,Source/link,Description,NCBI/RefSeq ID,GEM reaction count,SCC Filepath,Download command,Curation notes?,Imported by,Growth rate,Status,Status2,
NEU,Bacteria,Betaproteobacteria,Proteobacteria,Betaproteobacteria,Nitrosomonas ,europaea,Octavio-Perez et al. 2015,generated from emailed Excel,ammonia-oxidizer,,37,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/NEU_v3.xml,,,,,,,
NET,Bacteria,Betaproteobacteria,Proteobacteria,Betaproteobacteria,Nitrosomonas,eutropha,Octavio-Perez et al. 2016,generated from emailed Excel,ammonia-oxidizer,,45,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/NET_v3.xml,,,,,,,
NMU,Bacteria,Nitrospirota,Proteobacteria,Betaproteobacteria,Nitrosospira ,multiformis,Octavio-Perez et al. 2017,generated from emailed Excel,ammonia-oxidizer,,39,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/NMU_v3.xml,,,,,,,
NOC,Bacteria,Pseudomonadota,Proteobacteria,Gammaproteobacteria,Nitrosococcus,oceani,Octavio-Perez et al. 2018,generated from emailed Excel,ammonia-oxidizer,,45,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/NOC_v3.xml,,,,,,,
NDE,Bacteria,Nitrospirota,Proteobacteria,Betaproteobacteria,Candidatus Nitrospira,defluvii,Octavio-Perez et al. 2019,generated from emailed Excel,nitrite-oxidizer,,38,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/NDE_v3.xml,,,,,,,
NWI,Bacteria,Pseudomonadota,Proteobacteria,Alphaproteobacteria,Nitrobacter,winogradskyi,Octavio-Perez et al. 2020,generated from emailed Excel,nitrite-oxidizer,,33,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/NWI_v3.xml,,,,,,,
NHA,Bacteria,Pseudomonadota,Proteobacteria,Alphaproteobacteria,Nitrobacter ,hamburgensis,Octavio-Perez et al. 2021,generated from emailed Excel,nitrite-oxidizer,,36,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/NHA_v3.xml,,,,,,,
NSP,Bacteria,Nitrospinota,Proteobacteria,Deltaproteobacteria,Nitrospina ,gracilis,Octavio-Perez et al. 2022,generated from emailed Excel,nitrite-oxidizer,,31,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/NSP_v3.xml,,,,,,,
iNmo686,Bacteria,Nitrospirae,Proteobacteria,Betaproteobacteria,Nitrospira,moscoviensis,Lawson et al. 2021,Lawson Github,nitrite-oxidizer,,,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/Nitrospira_bigg_ids2.xml,,,,,,,
iFC578 ,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Nitrosomonas,europaea,Mellbye et al. 2018,Chaplen Github,ammonia-oxidizer,,1102,/projectnb/talbot-lab-data/metabolic_models/curated_models/Neuro/,wget https://github.com/chaplenf/microBiome-v2.1/raw/master/Neuro%20SBML%20fbc%20format.xml,,Sam,,"5/16/22: SBML downloaded from github (file called ""neuro_original""), put through validator and several lines removed (see text file in folder for removed lines) to pass- still over 1k warnings but it passed validator. Put through MetanetX (one reaction with id=""R_rxn13782"" removed bc showing as the only error, reaction also in text file with deleted lines); edited SBML called ""neuro_edited"". However, when ""neuro_edited"" is put back into metanet to see if it will pass, the only error is id=""R_rxn13783"". When that reaction was deleted (in a text document, not in the document saved on scc), metanet said that the only error was id=""R_rxn13784"". Becuase this seems like a pattern, I did not delete anything else (so, the only deleted lines are in ""Neuro_deleted lines.rtf"" on scc). At this point, xml is not passing metanet","Working in metanet, after removing empty reactions",
iFC579  ,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Nitrobacter,winogradskyi,Mellbye et al. 2018,Chaplen Github,nitrite-oxidizer,,,/projectnb/talbot-lab-data/metabolic_models/curated_models/Nwino/,wget https://github.com/chaplenf/microBiome-v2.1/raw/master/Nwino%20SBML%20fbc%20format.xml,,Sam,,"When original sbml is put into validator, fails with three errors ((1):""Error Line 815 Column 95: (SBML Validation Rule #20601) The value of 'compartment' in a <species> definition must be the identifier of an existing <compartment> defined in the model. Reference: L3V1 Section 4.6.3 The <species> with id 'M_cpd00047_e' refers to the compartment 'p' which is not defined. <species boundaryCondition=""false"" constant=""false"" hasOnlySubstanceUnits=""false"" id=""M_cpd00047_e"" name=""Formate_CHO2"" compartment=""p"" fbc:charge=""-1""/> (2) Error Line 16808 Column 78: (SBML Validation Rule #21101) A <reaction> definition must contain at least one <speciesReference>, either in its <listOfReactants> or its <listOfProducts>. A reaction without any reactant or product species is not permitted, regardless of whether the reaction has any modifier species. Reference: L3V1 Section 4.11.3 The <reaction> with id 'R_EX_cpd00659_e' does not contain any reactants or products. <reaction fast=""false"" id=""R_EX_cpd00659_e"" reversible=""false"" name=""Nitrous Oxide Exchange Reaction"" fbc:upperFluxBound=""cobra_0_bound"" fbc:lowerFluxBound=""cobra_0_bound""/> (3) Error Line 16809 Column 78: (SBML Validation Rule #21101) A <reaction> definition must contain at least one <speciesReference>, either in its <listOfReactants> or its <listOfProducts>. A reaction without any reactant or product species is not permitted, regardless of whether the reaction has any modifier species. Reference: L3V1 Section 4.11.3 The <reaction> with id 'R_EX_cpd00528_e' does not contain any reactants or products <reaction fast=""false"" id=""R_EX_cpd00528_e"" reversible=""false"" name=""Nitrogen Exchange Reaction"" fbc:upperFluxBound=""cobra_0_bound"" fbc:lowerFluxBound=""cobra_0_bound""/> "")","Working in metanet, after removing empty reactions",
iGD1348,Bacteria,Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Sinorhizobium,meliloti,diCenzo et al. 2020,diCenzo Github,rhizobium,,,/projectnb2/talbot-lab-data/metabolic_models/curated_models/iGD1348,wget https://github.com/diCenzo-GC/ViNE_Reconstruction/raw/master/1_Final_Models/iGD1348/iGD1348.xml,"Deleted source reaction ""SOURCE_cpdEPSIIn_1_c0"" before uploading to metanet",Zoey,89.91298703,"Needs manual refinement. MetanetX seemed to make this model worse, not better. Almost 300 reactions couldn't be mapped to metanet because they had an extra letter on their names - I think removing that letter will fix it.",,
iYY1101,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Bradyrhizobium,diazoefficiens USDA110,Yang et al. 2017,Supp Info ,rhizobium,NCBI:txid224911,,projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/,Didn't use wget command; downloaded files then uploaded,"In the zip folder of the Supp data, it says that Model S3 is ""The reconstructed genome-scale metabolic network model of B. diazoefficiens USDA110, iYY1101""; Model S4 is ""The constraint-based metabolic network model of B. diazoefficiens USDA110 specific for the FL state"", and Model S5 is ""The constraint-based metabolic network model of B. diazoefficiens USDA110 specific for the SNF state"". Curation efforts focused on S3 and S4 and found the same memote growth rate",Sam,1.28,"SH 5/16/22: Different files made for the different models. Supp Figures S3, S4, S5 all pass validation test. S3 represents ""The reconstructed genome-scale metabolic network model"" and it passed MetaNetX after I deleted one reaction (""ATP1ter"", deleted code saved in text file in folder. The file ""_original"" has been edited so that it works when going through validation) and the sbml3 was also uploaded into the folder. S4 represents ""The constraint-based metabolic network model of B.diazoefficiens USDA110 specific for the FL state"", which is what we want. S4 passed MetaNetX after I deleted the same reaction as model S3- ATP1ter (deleted code in folder). S5 represents constraint-based model for SNF state. No work done for S5 becuase model not of interest. [Note: in the folders, ""deleted text"" refers to lines that were deleted from the original files in order for the xml to pass MetaNet]",Functional,
iMT1174,Bacteria,Actinomycetota,Actinobacteria,Actinomycetota,Rhodococcus,jostii RHA1,Tajparast 2015,https://static-content.springer.com/esm/art%3A10.1186%2Fs12918-015-0190-y/MediaObjects/12918_2015_190_MOESM3_ESM.xlsx,,,,,,,Zoey will look at!,,,,
,Bacteria,Bacillota,Firmicutes,Bacillota,Halobacillus,sp. BAB-2008,Xu et al. 2019,,bioremediating consortium,ANPF01000133,1483,/projectnb2/talbot-lab-data/metabolic_models/curated_models/raphy/,Emailed from Raphy Zarecki,,,,,,
,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Halomonas,stevensii S18214,Xu et al. 2019,,bioremediating consortium,AJTS01000000,1752,/projectnb2/talbot-lab-data/metabolic_models/curated_models/raphy/,Emailed from Raphy Zarecki,Used R script to remove empty parentheses in GPR and repaired faulty compartment names.  Then read into Matlab and Python ,,282,MetaNetX keeps crashing when attempting to convert model,,
,Bacteria,Actinomycetota,Actinobacteria,Actinomycetota,Arthrobacter,aurescens TC1,Xu et al. 2019,,bioremediating consortium,NC_008711,2308,/projectnb2/talbot-lab-data/metabolic_models/curated_models/raphy/,Emailed from Raphy Zarecki,"Used R script to remove empty parentheses in GPR, and repaired faulty compartment names. Zero flux in python - why was matlab step needed for other file? Did some reactions end up without compartments?",,,,,
,Bacteria,Bacteroidota,Bacteroidota,Bacteroidota,Cesiribacter,andamanensis AMV16,Xu et al. 2019,,bioremediating consortium,NZ_AODQ01000227,1528,/projectnb2/talbot-lab-data/metabolic_models/curated_models/raphy/,Emailed from Raphy Zarecki,,,,,,
,Bacteria,Bacillota,Firmicutes,Bacillota,Bacillus,pseudofirmus OF4,Xu et al. 2019,,bioremediating consortium,NC_013791,2108,,missing from email,,,,,,
iRZ1179,Bacteria,Actinomycetota,Actinobacteria,Actinomycetota,Paenarthrobacter,aurescens TC1 ,Ofaim et al. 2020,Supp Table 2,,"same as above??? .....I found the following, so maybe separate than above? --> NCBI:txid290340","2541 (based off of Sup Table 1, ""Reactions"" tab)",/projectnb/talbot-lab-data/metabolic_models/curated_models/iRZ1179/,wget https://static-content.springer.com/esm/art%3A10.1038%2Fs41598-020-69509-7/MediaObjects/41598_2020_69509_MOESM2_ESM.xml,"In validation site and in MetaNet, we get >1000 errors under category ""Error 10103"" which refers to the syntax of including a 'name' attribute. I don't think we can ignore this error becuase it still gives issues in metanet (same error: 10103, related to name). There were also three other errors [(1) reaction id=""rxn_new_2.5.1.3""; (2) reaction id=""rxn_new_4.1.99.17""; and (3) reaction id=""rxn_new_2.8.1.10""] that were fixed by taking out the periods between the numbers in the reaction id. The ""iRZ1179_edited.xml"" file has been saved with these reactions fixed (periods taken out). The exact original that was downloaded with wget command is called ""iRZ1179_original.xml""",Sam,NA,"Got the sbml downloaded with wget command from the Supp Data 2, but this file fails validation (also tried to copy/paste all info in .xml and that failed). Have tried multiple times- I think the format/schema of this file is off and that's why it's failing validation. See ""curation notes"" column for more details",,
SRS16,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Variovorax,SRS 16,Dhakar et al. 2021,Supp File 2,,NCBI:txid282217,2150,/projectnb/talbot-lab-data/metabolic_models/curated_models/SRS16/,"Downloaded excel, copy/paste in text edit (on Mac: just need to change format of txt file to ""Make Plain Text""); convert to xml","(This is very similar to above^^) In validation site and in MetaNet, we get >1000 errors (10029 on validator) under category ""Error 10103"" which refers to the syntax of including a 'name; attribute. I don't think we can ignore this error becuase it still gives issues in metanet (same error: 10103, related to name). There were also three other errors [(1) reaction id=""rxn_new_2.5.1.3""; (2) reaction id=""rxn_new_1.17.1.8""; and (3) reaction id=""rxn_new_4.3.3.7""] that were fixed by taking out the periods between the numbers in the reaction id. The file ""SRS16_edited"" has been altered so that the periods are taken out of the 3 reactions with errors, and those errors no longer pop up on the validator",Sam,NA,"Downloaded as excel, saved as tab delimited text (.txt). Then to convert to xml, I just edited the last part of the file name (which dictates type of file) and it said that it was saved.. see folder on SCC to check it out (file with ""_edited"" on it); Recieving this error in validation site: Error Line 2 Column 1: (XML Error #1035) Main XML content is empty. ""<sbml xmlns=""""http://www.sbml.org/sbml/level2"""" level=""""2"""" version=""""1"""" xmlns:html=""""http://www.w3.org/1999/xhtml"""">""",,
iNX1344,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Agrobacterium,tumefaciens,Xu et al. 2021,Supp Zip archive ,plant pathogen,,1441,/projectnb/talbot-lab-data/metabolic_models/curated_models/iNX1344/,Downloaded zipped folder directly to my computer and then uploaded to folder,"SBML failed validation at first, but then changed [fbc:strict=""true""] to [fbc:strict=""false""] in line 3 and it passed validation! The ""iNX1344_original_edited"" saved in the folder has maintained this change. In MetaNet, the errors I got are the following. After looking into it, the lines with lower and upper bounds equal to ""FB3N0"" probably have zeros attached to each label (bc FB3N0=0 at top of doc); this may be an issue if the code is reading ""-0"". MetaNet Errors: ""LB is not equal to -UB: -1000 vs 1 at /db/MetaNetX/metanetx.org/prod/kitchen/MNXtools/bin/../perl/MetNet.pm line 262. MetNet::_check_LU_bounds(MetNet=HASH(0x5ddfe78), -1000, 1) called at /db/MetaNetX/metanetx.org/prod/kitchen/MNXtools/bin/../perl/MetNet.pm line 267 MetNet::add_mnet(MetNet=HASH(0x5ddfe78), ""input"", -1000, 1) called at /db/MetaNetX/metanetx.org/prod/kitchen/MNXtools/bin/SBML_to_TSV.pl line 85 MetNet::_check_LU_bounds(MetNet=HASH(0x5ddfe78), -1000, 1) called at /db/MetaNetX/metanetx.org/prod/kitchen/MNXtools/bin/../perl/MetNet.pm line 267 MetNet::add_mnet(MetNet=HASH(0x5ddfe78), ""input"", -1000, 1) called at /db/MetaNetX/metanetx.org/prod/kitchen/MNXtools/bin/SBML_to_TSV.pl line 85""...  [Note: aren't there two sets of the same error here?? I tried deleting lines 85, 262, and 267 by deleting the lowest line first to preserve line numbers. Used numerical convention according the SCC editing interface, unsure if same as MetaNet? This did not work. The original is titled ""iNZ1344_original.xml""]",Sam,NA,"When I first put into validator, got error that this file type is totally off, and was directed to this other site (BIGG Validator: https://memote.io/). The xbml also failed at this validation site. (errors have been addressed, see ""Curration notes"" column",IDs cannot be translated into anything sensible :(,
1YdBTEX2,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Pseudomonas,veronii 1YdBTEX2,Hadadi et al. 2020,"not in supp data.. This github has information on remi models and data, but can't find xml for 1YdBTEX2",candidate bioaugmentation agent for accelerated metabolism of mono-aromatic compounds in soil microbiomes,,1610,,,,,,,,
RehMBEL1391,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Ralstonia,eutropha H16,Park et al. 2011 ,Supp Files 1 and 2 provide reactions and metabolites,lithoautotrophic bacterium,,1391,,,,,,,,
iAA1300,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Azotobacter,,Alleman et al. 2021,github,nitrogen-fixing bacterium,,2289,/projectnb/talbot-lab-data/metabolic_models/curated_models/iAA1300/,wget https://github.com/alexander-alleman/Azotobactervinelandii_metabolicmodel/raw/main/Data/Models/iAA1300.xml,"From the literature, this model is improving upon and expanding a previous model (called iDT1278) by adding reactions. In creation of memote report, needed to add ""--skip test_inconsistent_min_stoichiometry"" onto end of memote command (this skips the indicated test, which it was getting stuck on) ",Sam,0.68,"Model did not *fail* validation, but had 1958 warnings (under category Modeling Practice Guideline 80601). I did not change anything and put file into metanet. This worked, so the sbml that has gone through validator and metanet is in folder under name ""iAA1300_metanet"". Have tried to create memote report multiple times (also tried with code ""qrsh -l h_rt=2:00:00"") and it keeps getting stuck/can't complete the report",Growth rate increased from .46 to .68 after renaming metabolites,
,Bacteria,Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,,,Rubinstein et al. 2022,KBase narrative,denitrifier,,1754,/projectnb/talbot-lab-data/metabolic_models/curated_models/Gammaprot/,"Downloaded from the ""Gammaproteobacteria.model v8"" in the left hand side ""DATA"" drop down menu","As in the TA21 model above, the same 9 errors popped up with error code 20303, which means that the fbc:chemicalFormula=""null"" part of the lines must be changed so that the value is capitalized (as in "" =Null""). Reactions (___/9 are the same as above): id=""M_cpd17042_c0""; M_cpd17043_c0; M_cpd17041_c0; M_cpd27484_c0; M_cpd22290_c0; M_cpd12713_c0; M_cpd19168_c0; M_cpd30750_c0. After those corrections were made, the next error to pop up was the same type of error (#21101) but a different reaction as that described above in TA21 model. Here: id 'R_rxn14003_c0' does not contain any reactants or products . That reaction was deleted (see deleted lines file) and it passed validator with ~1700 warnings.  When put into Metanet, the same error came up as in TA21 model (same reaction: 13782)--> see problems described above with the file in metanet. I ignored this error for now and ran memote with the edited sbml

The Memote report got stuch at the test_consistency step), so I used this line to create the report: memote report snapshot --filename memote_Gammaprot_edited.html Gammaprot_edited.xml --skip test_inconsistent_min_stoichiometry",Sam,74.28,"I called this genome folder ""Gammoprot""","Zoey note: this is two models rather than one, unclear whether Memote takes this into account at all",
,Bacteria,Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,,,Rubinstein et al. 2022,KBase narrative,denitrifier,,,,"There is only a single gammaprotein model on the KBase page, but there are multiple places (in the paper and on KBase) where they talk about the two different gammaproteobacterias. There is another model called ""Steroidobacter"" and one called ""FEN1191"", but neither have been downloaded.",,?,,,,
,Bacteria,Nitrospirota,Nitrospirota,Nitrospirota,,,Rubinstein et al. 2022,KBase narrative,nitrite-oxidizer,,1348,/projectnb/talbot-lab-data/metabolic_models/curated_models/Nitrospiraceae/,"Downloaded from the ""Nitrospiraceae.model v2"" in the left hand side ""DATA"" drop down menu","As in the TA21 model above, the same 9 errors popped up with error code 20303, which means that the fbc:chemicalFormula=""null"" part of the lines must be changed so that the value is capitalized (as in "" =Null""). Reactions (8/9 are the same as above): ""id=M_cpd17042_c0; M_cpd17043_c0; M_cpd17041_c0; M_cpd27484_c0; M_cpd22290_c0; M_cpd19168_c0; M_cpd30750_c0; M_cpd12713_c0; M_cpd11416_c0. After those corrections were made, the next error to pop up was the same as that described above in TA21 model (""The <reaction> with id 'R_rxn14003_c0' does not contain any reactants or products.""). That reaction was deleted (see deleted lines file) and it passed validator with ~1400 warnings.  When put into Metanet, the same error came up as in TA21 model (same reaction: 13782)--> see problems described above with the file in metanet. I ignored this error for now and ran memote with the edited sbml

The Memote report failed at first (at the test_consistency step), so I used this line to create the report: memote report snapshot -filename memote_Nitrospiraceae_edited.html Nitrospiraceae_edited.xml -skip test_inconsistent_min_stoichiometry ",Sam,58.99,"This genome is called ""Nitrospiraceae"" on KBase (I'm pretty sure, should be double checked)",,
