Unnamed: 0,taxon,Kingdom,Phylum,Class,Order,Family,Genus,accession
19,Bacillus sp. FJAT-49736,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
20,Rhodotorula toruloides,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,
21,Bradyrhizobium sp. STM 3843,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
22,Methanosarcina sp. 2.H.T.1A.6,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
23,Methanosarcina sp. 2.H.T.1A.6,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
24,Bradyrhizobium guangzhouense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
25,Bradyrhizobium sp. ORS 285,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
26,Bacillus sp. FJAT-27264,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
27,Bacillus sp. FJAT-27264,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
28,Sinorhizobium sp. M4_45,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,
29,Clostridium pasteurianum,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
30,Bradyrhizobium sp. JYMT SZCCT0180,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
31,Clostridium sp. USBA 49,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
32,Clostridium tarantellae,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
33,Bacillus sp. AFS096315,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
34,Bacillus sp. AFS096315,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
35,Bacillus sp. FJAT-42376,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
36,Bacillus sp. FJAT-42376,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
37,Clostridium fallax,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
38,Bacillus ectoiniformans,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
39,Bacillus ectoiniformans,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
40,Clostridium sp. Marseille-P2415,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
41,Bacillus solitudinis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
42,Bacillus solitudinis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
43,Clostridium lacusfryxellense,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
44,Bradyrhizobium sp. NAS80.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
45,Nitrosomonas sp. Nm34,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
46,Bacillus amyloliquefaciens,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
47,Bacillus amyloliquefaciens,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
48,Bacillus sp. FJAT-26390,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
49,Bacillus sp. FJAT-26390,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
50,Rhizophagus clarus,Eukaryota,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,
51,Bacillus tianshenii,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
52,Bacillus tianshenii,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
53,Bradyrhizobium sp. WSM1417,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
54,Bacillus sp. NTK074B,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
55,Bacillus sp. NTK074B,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
56,Bacillus safensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
57,Bacillus safensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
58,Bacillus sp. Soil768D1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
59,Bacillus sp. Soil768D1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
60,Clostridium botulinum,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
61,Nitrosomonas mobilis,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
62,Bacillus sp. REN3,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
63,Bacillus sp. REN3,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
64,Clostridium sp. C2-6-12,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
65,Bradyrhizobium sp. WSM3983,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
66,Bacillus sp. FJAT-27225,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
67,Bacillus sp. FJAT-27225,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
68,Bacillus sp. B15-48,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
69,Bacillus sp. B15-48,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
70,Bacillus subtilis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
71,Bacillus subtilis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
72,Bradyrhizobium sp. G22,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
73,Bacillus bingmayongensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
74,Bacillus bingmayongensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
75,Bacillus sp. HMF5848,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
76,Bacillus sp. HMF5848,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
77,Clostridium sp. AF27-2AA,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
78,Clostridium beijerinckii,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
79,Bradyrhizobium sp. URHD0069,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
80,Rhizophagus irregularis,Eukaryota,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,
81,Staphylococcus xylosus,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
82,Mortierella sp. AD094,Eukaryota,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
83,Bradyrhizobium cytisi,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
84,Mortierella sp. NVP41,Eukaryota,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
85,Clostridium sp. HBUAS56017,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
86,Bacillus glycinifermentans,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
87,Bacillus glycinifermentans,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
88,Bacillus sp. AZ43,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
89,Bacillus sp. AZ43,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
90,Bacillus sp. Xin1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
91,Bacillus sp. Xin1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
92,Mortierella sp. AD031,Eukaryota,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
93,Mortierella polycephala,Eukaryota,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
94,Bacillus wudalianchiensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
95,Bacillus wudalianchiensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
96,Bradyrhizobium sp. YR681,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
97,Bacillus sp. 1NLA3E,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
98,Bacillus sp. 1NLA3E,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
99,Bradyrhizobium diversitatis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
100,Nitrosomonas sp. Nm51,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
101,Clostridium jeddahense,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
102,Bacillus sp. ZZV12-4809,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
103,Bacillus sp. ZZV12-4809,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
104,Bradyrhizobium sp. CCBAU 53338,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
105,Nitrospira lenta,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,
106,Bacillus sp. V3-13,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
107,Bacillus sp. V3-13,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
108,Nitrosomonas supralitoralis,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
109,Bacillus pakistanensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
110,Bacillus pakistanensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
111,Clostridium taeniosporum,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
112,Azotobacter salinestris,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,
113,Bradyrhizobium aeschynomenes,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
114,Clostridium sardiniense,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
115,Bacillus sp. T33-2,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
116,Bacillus sp. T33-2,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
117,Clostridium sporogenes,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
118,Clostridium sp. UBA2485,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
119,Bradyrhizobium sp. AUGA SZCCT0283,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
120,Bacillus mycoides,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
121,Bacillus mycoides,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
122,Bacillus atrophaeus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
123,Bacillus atrophaeus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
124,Clostridium minihomine,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
125,Bradyrhizobium paxllaeri,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
126,Bacillus sp. FJAT-28004,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
127,Bacillus sp. FJAT-28004,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
128,Bacillus sp. ISL-55,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
129,Bacillus sp. ISL-55,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
130,Clostridium sp. SN20,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
131,Nitrospira bacterium HGW-Nitrospira-1,Bacteria,Nitrospirota,Nitrospiria,,,,
132,Clostridium polyendosporum,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
133,Bacillus albus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
134,Bacillus albus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
135,Bradyrhizobium lablabi,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
136,Bradyrhizobium sp. Gha,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
137,Mortierella sp. GBA35,Eukaryota,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
138,Bacillus sp. J33,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
139,Bacillus sp. J33,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
140,Clostridium manihotivorum,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
141,Bradyrhizobium niftali,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
142,Mortierella sp. AD032,Eukaryota,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
143,Bacillus sp. BHET2,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
144,Bacillus sp. BHET2,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
145,Bacillus sp. AFS073361,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
146,Bacillus sp. AFS073361,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
147,Bacillus sp. KH172YL63,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
148,Bacillus sp. KH172YL63,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
149,Bradyrhizobium rifense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
150,Bacillus smithii,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
151,Bacillus smithii,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
152,Nitrosomonas nitrosa,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
153,Bacillus gaemokensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
154,Bacillus gaemokensis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
155,Lachancea fermentati,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,
156,Clostridium sp. D53t1_180928_C8,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
157,Bacillus sp. FJAT-22090,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
158,Bacillus sp. FJAT-22090,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
159,Bradyrhizobium sp. NFR13,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
160,Bradyrhizobium sp. MOS003,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
161,Bacillus canaveralius,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
162,Bacillus canaveralius,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
163,Sinorhizobium fredii,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,
164,Bacillus marinisedimentorum,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
165,Bacillus marinisedimentorum,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
166,Bradyrhizobium sp. SRL28,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
167,Bradyrhizobium sp.,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
168,Clostridium sp. 1001175st1 A10,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
169,Methanosarcina spelaei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
170,Methanosarcina spelaei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
171,Bacillus sp. DNRA2,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
172,Bacillus sp. DNRA2,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
173,Bacillus clarus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
174,Bacillus clarus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
175,Clostridium vincentii,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
176,Bradyrhizobium sp. JYMT SZCCT0428,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
177,Clostridium uliginosum,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
178,Bradyrhizobium sp. AUGA SZCCT0042,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
179,Sinorhizobium kostiense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,
180,Bacillus sp. ISL-41,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
181,Bacillus sp. ISL-41,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
182,Bacillus sp. FJAT-25509,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
183,Bacillus sp. FJAT-25509,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
184,Bradyrhizobium viridifuturi,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
185,Trichodelitschia bisporula,Eukaryota,Ascomycota,Dothideomycetes,Phaeotrichales,Phaeotrichaceae,Trichodelitschia,
186,Aeromicrobium sp. Root472D3,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,
187,Azospirillum agricola,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,
188,Labrenzia sp. PHM005,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Labrenzia,
189,Martensiomyces pterosporus,Eukaryota,Zoopagomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Martensiomyces,
190,Spirosoma rigui,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,
191,Nodosilinea sp. LEGE 07298,Bacteria,Cyanobacteriota,Cyanophyceae,Nodosilineales,Nodosilineaceae,Nodosilinea,
192,Gemmobacter caeruleus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Gemmobacter,
193,Micromonospora coriariae,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,
194,Aeromonadales bacterium,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,,,
195,Spirosoma endophyticum,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,
196,Flavivirga algicola,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavivirga,
197,Massiliimalia timonensis,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Massiliimalia,
198,Streptomyces sp. 846.5,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
199,Streptomyces sp. 846.5,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
200,Collimonas sp. OK412,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,
201,Candidatus Frankia alpina,Bacteria,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,
202,Acinetobacter tianfuensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,
203,Glaciihabitans sp. dw_435,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Glaciihabitans,
204,Streptomyces sp. XY006,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
205,Streptomyces sp. XY006,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
206,Curtobacterium sp. PhB115,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,
207,Streptomyces sp. Ag109_O5-10,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
208,Streptomyces sp. Ag109_O5-10,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
209,Dickeya poaceiphila,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,
210,Komagataeibacter melaceti,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,
211,Mycolicibacterium diernhoferi,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,
212,Thermophilibacter mediterraneus,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Thermophilibacter,
213,Halolamina sp. CBA1230,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,
214,Streptomyces colonosanans,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
215,Streptomyces colonosanans,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
216,Paenibacillus antibioticophila,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
217,Methylobacterium platani,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,
218,Flavobacterium sp. ACN2,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
219,Lachnospiraceae bacterium UBA7196,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,,
220,Pseudomonas sp. Leaf58,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
221,Pseudomonas sp. Leaf58,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
222,Pseudomonas sp. Leaf58,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
223,Pseudomonas sp. Leaf58,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
224,Pseudomonas sp. Leaf58,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
225,Pseudomonas sp. Leaf58,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
226,Paenibacillus sp. Soil750,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
