ROW ID,GEM ID,Kingdom,Genus,Species.strain,Citation,Source,Filepath,Match criteria,Species of interest,Functional in COMETS?,taxonomy_id,lineage,db_name,cultivatedCrops,deciduousForest,dwarfScrub,emergentHerbaceousWetlands,evergreenForest,grasslandHerbaceous,mixedForest,pastureHay,sedgeHerbaceous,shrubScrub,woodyWetlands,source,pH_preference,temperature_preference,genome_link,GEM_ID,match_by
12,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus sp. USDA818B3_A,Yes,2698834,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. USDA818B3_A,soil_microbe_db,1,1,0,1,1,1,1,1,1,1,0,GTDB,5.72335902,14.13333333,NA,iBB1018,Genus
13,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus sp. CMF21,Yes,2884832,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. CMF21,soil_microbe_db,NA,1,0,1,1,1,NA,1,0,1,1,JGI GOLD,7.095036022,26.6,NA,iYO844,Genus
14,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus sp. CMF21,Yes,2884832,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. CMF21,soil_microbe_db,NA,1,0,1,1,1,NA,1,0,1,1,JGI GOLD,7.095036022,26.6,NA,iBB1018,Genus
15,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus sp. S3,Yes,486398,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. S3,soil_microbe_db,NA,1,1,1,1,1,1,1,1,1,1,GTDB,2.734934563,17.4,NA,iYO844,Genus
16,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus sp. S3,Yes,486398,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. S3,soil_microbe_db,NA,1,1,1,1,1,1,1,1,1,1,GTDB,2.734934563,17.4,NA,iBB1018,Genus
17,iYY1101,Bacteria,Bradyrhizobium,diazoefficiens USDA110,Yang et al. 2017,Supp Info,projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/,Genus,Bradyrhizobium liaoningense,Yes,43992,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium liaoningense,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,SMAG,4.737263542,9.8,NA,iYY1101,Genus
18,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus sp. FJAT-49736,Yes,2833582,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. FJAT-49736,soil_microbe_db,NA,1,0,0,0,1,1,1,1,0,1,GTDB,3.221780187,30.33333333,NA,iYO844,Genus
19,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus sp. FJAT-49736,Yes,2833582,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. FJAT-49736,soil_microbe_db,NA,1,0,0,0,1,1,1,1,0,1,GTDB,3.221780187,30.33333333,NA,iBB1018,Genus
20,iRhto1108,Fungi,Rhodotorula,toruloides IFO0880,Dinh et al. 2019,Maranas Github,NA,Species,Rhodotorula toruloides,Yes,5286,k__Eukaryota;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula toruloides,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,Mycocosm,4.077484612,41.13333333,NA,iRhto1108,Species
21,iYY1101,Bacteria,Bradyrhizobium,diazoefficiens USDA110,Yang et al. 2017,Supp Info,projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/,Genus,Bradyrhizobium sp. STM 3843,Yes,551947,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. STM 3843,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,4.316607167,9.7,NA,iYY1101,Genus
22,iAF692,Archaea,Methanosarcina,barkeri str. Fusaro,NA,BiGG iAF692,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iAF692.xml,Genus,Methanosarcina sp. 2.H.T.1A.6,Yes,1483599,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp. 2.H.T.1A.6,soil_microbe_db,1,1,1,1,1,0,1,1,1,0,1,GTDB,5.445955832,1.75,NA,iAF692,Genus
23,iMG746,Archaea,Methanosarcina,barkeri str. Fusaro,Gonnerman et al. 2013,paper supplement,NA,Genus,Methanosarcina sp. 2.H.T.1A.6,Yes,1483599,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp. 2.H.T.1A.6,soil_microbe_db,1,1,1,1,1,0,1,1,1,0,1,GTDB,5.445955832,1.75,NA,iMG746,Genus
24,iYY1101,Bacteria,Bradyrhizobium,diazoefficiens USDA110,Yang et al. 2017,Supp Info,projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/,Genus,Bradyrhizobium guangzhouense,Yes,1325095,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium guangzhouense,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,4.316607167,8.633333333,NA,iYY1101,Genus
25,iYY1101,Bacteria,Bradyrhizobium,diazoefficiens USDA110,Yang et al. 2017,Supp Info,projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/,Genus,Bradyrhizobium sp. ORS 285,Yes,115808,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. ORS 285,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,4.177623549,10.5,NA,iYY1101,Genus
26,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus sp. FJAT-27264,Yes,1850362,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. FJAT-27264,soil_microbe_db,NA,1,1,1,1,1,1,NA,1,1,1,GTDB,3.70896466,9.466666667,NA,iYO844,Genus
27,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus sp. FJAT-27264,Yes,1850362,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. FJAT-27264,soil_microbe_db,NA,1,1,1,1,1,1,NA,1,1,1,GTDB,3.70896466,9.466666667,NA,iBB1018,Genus
28,iGD1348,Bacteria,Sinorhizobium,meliloti,diCenzo et al. 2020,diCenzo Github,/projectnb2/talbot-lab-data/metabolic_models/curated_models/iGD1348,Genus,Sinorhizobium sp. M4_45,Yes,2037901,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium sp. M4_45,soil_microbe_db,1,1,1,1,1,1,NA,1,1,1,1,JGI GOLD,3.633587344,12.7,NA,iGD1348,Genus
29,iHN637,Bacteria,Clostridium,ljungdahlii DSM 13528,NA,BiGG iHN637,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml,Genus,Clostridium pasteurianum,Yes,1501,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium pasteurianum,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,6.420307848,23.53333333,NA,iHN637,Genus
30,iYY1101,Bacteria,Bradyrhizobium,diazoefficiens USDA110,Yang et al. 2017,Supp Info,projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/,Genus,Bradyrhizobium sp. JYMT SZCCT0180,Yes,2807666,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. JYMT SZCCT0180,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,4.988331366,7.1,NA,iYY1101,Genus
31,iHN637,Bacteria,Clostridium,ljungdahlii DSM 13528,NA,BiGG iHN637,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml,Genus,Clostridium sp. USBA 49,Yes,1881060,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. USBA 49,soil_microbe_db,NA,1,0,1,1,0,1,NA,0,1,1,GTDB,3.383910803,1.6,NA,iHN637,Genus
32,iHN637,Bacteria,Clostridium,ljungdahlii DSM 13528,NA,BiGG iHN637,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml,Genus,Clostridium tarantellae,Yes,39493,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tarantellae,soil_microbe_db,1,1,0,0,1,1,1,1,1,0,1,GTDB,2.586033828,29.5,NA,iHN637,Genus
33,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus sp. AFS096315,Yes,2033517,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. AFS096315,soil_microbe_db,1,1,0,0,1,1,1,1,0,1,1,JGI GOLD,5.016598882,21.66666667,NA,iYO844,Genus
34,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus sp. AFS096315,Yes,2033517,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. AFS096315,soil_microbe_db,1,1,0,0,1,1,1,1,0,1,1,JGI GOLD,5.016598882,21.66666667,NA,iBB1018,Genus
35,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus sp. FJAT-42376,Yes,2014076,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. FJAT-42376,soil_microbe_db,NA,1,1,0,1,1,1,1,1,1,1,GTDB,2.71460709,15,NA,iYO844,Genus
36,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus sp. FJAT-42376,Yes,2014076,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. FJAT-42376,soil_microbe_db,NA,1,1,0,1,1,1,1,1,1,1,GTDB,2.71460709,15,NA,iBB1018,Genus
37,iHN637,Bacteria,Clostridium,ljungdahlii DSM 13528,NA,BiGG iHN637,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml,Genus,Clostridium fallax,Yes,1533,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium fallax,soil_microbe_db,NA,1,0,1,1,0,1,NA,0,0,1,GTDB,3.224971218,14.13333333,NA,iHN637,Genus
38,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus ectoiniformans,Yes,1494429,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus ectoiniformans,soil_microbe_db,NA,1,0,0,1,0,1,1,0,0,1,GTDB,4.2272237,12.7,NA,iYO844,Genus
39,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus ectoiniformans,Yes,1494429,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus ectoiniformans,soil_microbe_db,NA,1,0,0,1,0,1,1,0,0,1,GTDB,4.2272237,12.7,NA,iBB1018,Genus
40,iHN637,Bacteria,Clostridium,ljungdahlii DSM 13528,NA,BiGG iHN637,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml,Genus,Clostridium sp. Marseille-P2415,Yes,1805471,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. Marseille-P2415,soil_microbe_db,0,1,0,1,1,0,1,1,1,1,1,GTDB,8.137895834,28.73333333,NA,iHN637,Genus
41,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus solitudinis,Yes,2014074,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus solitudinis,soil_microbe_db,NA,1,0,1,1,0,1,NA,1,0,1,GTDB,3.244382925,14.73333333,NA,iYO844,Genus
42,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus solitudinis,Yes,2014074,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus solitudinis,soil_microbe_db,NA,1,0,1,1,0,1,NA,1,0,1,GTDB,3.244382925,14.73333333,NA,iBB1018,Genus
43,iHN637,Bacteria,Clostridium,ljungdahlii DSM 13528,NA,BiGG iHN637,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml,Genus,Clostridium lacusfryxellense,Yes,205328,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium lacusfryxellense,soil_microbe_db,NA,1,1,1,1,1,1,0,1,1,1,GTDB,7.833591191,14.8,NA,iHN637,Genus
44,iYY1101,Bacteria,Bradyrhizobium,diazoefficiens USDA110,Yang et al. 2017,Supp Info,projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/,Genus,Bradyrhizobium sp. NAS80.1,Yes,1680159,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. NAS80.1,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,4.35809222,18.63333333,NA,iYY1101,Genus
45,iGC535,Bacteria,Nitrosomonas,europaea,Canto-Encalada et al 2022,https://github.com/cristalzucsd/Nitrosomonaseuropaea/tree/main/SBML_Models,NA,Genus,Nitrosomonas sp. Nm34,Yes,1881055,k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas sp. Nm34,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,3.526420167,32.06666667,NA,iGC535,Genus
46,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus amyloliquefaciens,Yes,1390,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus amyloliquefaciens,soil_microbe_db,NA,1,1,1,1,1,1,1,1,1,1,JGI GOLD,6.52035789,28.1,NA,iYO844,Genus
47,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus amyloliquefaciens,Yes,1390,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus amyloliquefaciens,soil_microbe_db,NA,1,1,1,1,1,1,1,1,1,1,JGI GOLD,6.52035789,28.1,NA,iBB1018,Genus
48,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus sp. FJAT-26390,Yes,1743142,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. FJAT-26390,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,2.527238644,34.66666667,NA,iYO844,Genus
49,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus sp. FJAT-26390,Yes,1743142,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. FJAT-26390,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,2.527238644,34.66666667,NA,iBB1018,Genus
50,iRi1574,Fungi,Rhizophagus,irregularis,NA,github,"/projectnb2/talbot-lab-data/metabolic_models/curated_models/iRi1574/iRi1574.xml,5417744,1706217358000,283690,644",Genus,Rhizophagus clarus,Yes,94130,k__Eukaryota;p__Mucoromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus clarus,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,Mycocosm,2.389063717,24.33333333,NA,iRi1574,Genus
51,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus tianshenii,Yes,1463404,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus tianshenii,soil_microbe_db,0,1,0,1,1,1,1,1,0,0,1,GTDB,7.833591191,31.26666667,NA,iYO844,Genus
52,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus tianshenii,Yes,1463404,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus tianshenii,soil_microbe_db,0,1,0,1,1,1,1,1,0,0,1,GTDB,7.833591191,31.26666667,NA,iBB1018,Genus
53,iYY1101,Bacteria,Bradyrhizobium,diazoefficiens USDA110,Yang et al. 2017,Supp Info,projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/,Genus,Bradyrhizobium sp. WSM1417,Yes,754500,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. WSM1417,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,5.137769213,8.5,NA,iYY1101,Genus
54,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus sp. NTK074B,Yes,2802174,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. NTK074B,soil_microbe_db,NA,1,0,0,0,0,NA,NA,0,1,1,GTDB,2.975084796,17.4,NA,iYO844,Genus
55,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus sp. NTK074B,Yes,2802174,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. NTK074B,soil_microbe_db,NA,1,0,0,0,0,NA,NA,0,1,1,GTDB,2.975084796,17.4,NA,iBB1018,Genus
56,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus safensis,Yes,561879,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis,soil_microbe_db,1,1,1,1,1,1,NA,NA,1,1,NA,JGI GOLD,6.062345327,24.16666667,NA,iYO844,Genus
57,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus safensis,Yes,561879,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis,soil_microbe_db,1,1,1,1,1,1,NA,NA,1,1,NA,JGI GOLD,6.062345327,24.16666667,NA,iBB1018,Genus
