Row,Speciesofinterest,match_by,GEM_ID,Genomesource,Functional in COMETS
137,Mortierella sp. GBA35,Genus,iCY1106,Mycocosm,Yes
138,Bacillus sp. J33,Genus,iYO844,GTDB,Yes
139,Bacillus sp. J33,Genus,iBB1018,GTDB,Yes
140,Clostridium manihotivorum,Genus,iHN637,JGI GOLD,Yes
141,Bradyrhizobium niftali,Genus,iYY1101,GTDB,Yes
142,Mortierella sp. AD032,Genus,iCY1106,Mycocosm,Yes
143,Bacillus sp. BHET2,Genus,iYO844,GTDB,Yes
144,Bacillus sp. BHET2,Genus,iBB1018,GTDB,Yes
145,Bacillus sp. AFS073361,Genus,iYO844,GTDB,Yes
146,Bacillus sp. AFS073361,Genus,iBB1018,GTDB,Yes
147,Bacillus sp. KH172YL63,Genus,iYO844,GTDB,Yes
148,Bacillus sp. KH172YL63,Genus,iBB1018,GTDB,Yes
149,Bradyrhizobium rifense,Genus,iYY1101,GTDB,Yes
150,Bacillus smithii,Genus,iYO844,GTDB,Yes
151,Bacillus smithii,Genus,iBB1018,GTDB,Yes
152,Nitrosomonas nitrosa,Genus,iGC535,GTDB,Yes
153,Bacillus gaemokensis,Genus,iYO844,GTDB,Yes
154,Bacillus gaemokensis,Genus,iBB1018,GTDB,Yes
155,Lachancea fermentati,Genus,iBM3063,Mycocosm,Yes
156,Clostridium sp. D53t1_180928_C8,Genus,iHN637,GTDB,Yes
157,Bacillus sp. FJAT-22090,Genus,iYO844,GTDB,Yes
158,Bacillus sp. FJAT-22090,Genus,iBB1018,GTDB,Yes
159,Bradyrhizobium sp. NFR13,Genus,iYY1101,GTDB,Yes
160,Bradyrhizobium sp. MOS003,Genus,iYY1101,GTDB,Yes
161,Bacillus canaveralius,Genus,iYO844,GTDB,Yes
162,Bacillus canaveralius,Genus,iBB1018,GTDB,Yes
163,Sinorhizobium fredii,Genus,iGD1348,GTDB,Yes
164,Bacillus marinisedimentorum,Genus,iYO844,GTDB,Yes
165,Bacillus marinisedimentorum,Genus,iBB1018,GTDB,Yes
166,Bradyrhizobium sp. SRL28,Genus,iYY1101,GTDB,Yes
167,Bradyrhizobium sp.,Genus,iYY1101,GTDB,Yes
168,Clostridium sp. 1001175st1 A10,Genus,iHN637,GTDB,Yes
169,Methanosarcina spelaei,Genus,iAF692,GTDB,Yes
170,Methanosarcina spelaei,Genus,iMG746,GTDB,Yes
171,Bacillus sp. DNRA2,Genus,iYO844,GTDB,Yes
172,Bacillus sp. DNRA2,Genus,iBB1018,GTDB,Yes
173,Bacillus clarus,Genus,iYO844,GTDB,Yes
174,Bacillus clarus,Genus,iBB1018,GTDB,Yes
175,Clostridium vincentii,Genus,iHN637,GTDB,Yes
176,Bradyrhizobium sp. JYMT SZCCT0428,Genus,iYY1101,GTDB,Yes
177,Clostridium uliginosum,Genus,iHN637,GTDB,Yes
178,Bradyrhizobium sp. AUGA SZCCT0042,Genus,iYY1101,JGI GOLD,Yes
179,Sinorhizobium kostiense,Genus,iGD1348,GTDB,Yes
180,Bacillus sp. ISL-41,Genus,iYO844,GTDB,Yes
181,Bacillus sp. ISL-41,Genus,iBB1018,GTDB,Yes
182,Bacillus sp. FJAT-25509,Genus,iYO844,GTDB,Yes
183,Bacillus sp. FJAT-25509,Genus,iBB1018,GTDB,Yes
184,Bradyrhizobium viridifuturi,Genus,iYY1101,JGI GOLD,Yes
185,Trichodelitschia bisporula,No curated GEM at species or genus level,NA,Mycocosm,No
186,Aeromicrobium sp. Root472D3,No curated GEM at species or genus level,NA,GTDB,No
187,Azospirillum agricola,No curated GEM at species or genus level,NA,GTDB,No
188,Labrenzia sp. PHM005,No curated GEM at species or genus level,NA,GTDB,No
189,Martensiomyces pterosporus,No curated GEM at species or genus level,NA,Mycocosm,No
190,Spirosoma rigui,No curated GEM at species or genus level,NA,GTDB,No
191,Nodosilinea sp. LEGE 07298,No curated GEM at species or genus level,NA,GTDB,No
192,Gemmobacter caeruleus,No curated GEM at species or genus level,NA,GTDB,No
193,Micromonospora coriariae,No curated GEM at species or genus level,NA,GTDB,No
194,Aeromonadales bacterium,No curated GEM at species or genus level,NA,GTDB,No
195,Spirosoma endophyticum,No curated GEM at species or genus level,NA,GTDB,No
196,Flavivirga algicola,No curated GEM at species or genus level,NA,GTDB,No
197,Massiliimalia timonensis,No curated GEM at species or genus level,NA,GTDB,No
198,Streptomyces sp. 846.5,Genus,salb,GTDB,No
199,Streptomyces sp. 846.5,Genus,sco,GTDB,No
200,Collimonas sp. OK412,No curated GEM at species or genus level,NA,GTDB,No
201,Candidatus Frankia alpina,No curated GEM at species or genus level,NA,GTDB,No
202,Acinetobacter tianfuensis,No curated GEM at species or genus level,NA,GTDB,No
203,Glaciihabitans sp. dw_435,No curated GEM at species or genus level,NA,GTDB,No
204,Streptomyces sp. XY006,Genus,salb,GTDB,No
205,Streptomyces sp. XY006,Genus,sco,GTDB,No
206,Curtobacterium sp. PhB115,No curated GEM at species or genus level,NA,GTDB,No
207,Streptomyces sp. Ag109_O5-10,Genus,salb,GTDB,No
208,Streptomyces sp. Ag109_O5-10,Genus,sco,GTDB,No
209,Dickeya poaceiphila,No curated GEM at species or genus level,NA,GTDB,No
210,Komagataeibacter melaceti,No curated GEM at species or genus level,NA,GTDB,No
211,Mycolicibacterium diernhoferi,No curated GEM at species or genus level,NA,GTDB,No
212,Thermophilibacter mediterraneus,No curated GEM at species or genus level,NA,GTDB,No
213,Halolamina sp. CBA1230,No curated GEM at species or genus level,NA,GTDB,No
214,Streptomyces colonosanans,Genus,salb,GTDB,No
215,Streptomyces colonosanans,Genus,sco,GTDB,No
216,Paenibacillus antibioticophila,No curated GEM at species or genus level,NA,GTDB,No
217,Methylobacterium platani,No curated GEM at species or genus level,NA,GTDB,No
218,Flavobacterium sp. ACN2,No curated GEM at species or genus level,NA,GTDB,No
219,Lachnospiraceae bacterium UBA7196,No curated GEM at species or genus level,NA,GTDB,No
220,Pseudomonas sp. Leaf58,Genus,iJN746,GTDB,No
221,Pseudomonas sp. Leaf58,Genus,riPB890,GTDB,No
222,Pseudomonas sp. Leaf58,Genus,riJN746,GTDB,No
223,Pseudomonas sp. Leaf58,Genus,1YdBTEX2,GTDB,No
224,Pseudomonas sp. Leaf58,Genus,ec_iJN1463,GTDB,No
225,Pseudomonas sp. Leaf58,Genus,iJN1462,GTDB,No
226,Paenibacillus sp. Soil750,No curated GEM at species or genus level,NA,GTDB,No
227,Salinicola acroporae,No curated GEM at species or genus level,NA,GTDB,No
228,Olsenella sp. An293,No curated GEM at species or genus level,NA,GTDB,No
229,Kribbella jejuensis,No curated GEM at species or genus level,NA,GTDB,No
230,Zancudomyces culisetae,No curated GEM at species or genus level,NA,Mycocosm,No
231,Saccharomonospora amisosensis,No curated GEM at species or genus level,NA,GTDB,No
232,Sphingobium herbicidovorans,No curated GEM at species or genus level,NA,GTDB,No
233,Limnohabitans sp. Jir61,No curated GEM at species or genus level,NA,GTDB,No
234,Bifidobacterium tibiigranuli,No curated GEM at species or genus level,NA,GTDB,No
235,Pseudorhodoferax sp. Leaf265,No curated GEM at species or genus level,NA,GTDB,No
236,Paenibacillus pabuli,No curated GEM at species or genus level,NA,SPIRE_MAGs,No
237,Bacillus paramycoides,Genus,NA,GTDB,No
238,Buttiauxella massiliensis,No curated GEM at species or genus level,NA,GTDB,No
239,Frondihabitans sp. 762G35,No curated GEM at species or genus level,NA,GTDB,No
240,Komagataeibacter rhaeticus,No curated GEM at species or genus level,NA,GTDB,No
241,Caulobacter sp. D5,No curated GEM at species or genus level,NA,GEM catalog,No
242,Bacillus sp. MM2020_4,Genus,NA,GTDB,No
243,Halorussus marinus,No curated GEM at species or genus level,NA,GTDB,No
244,Cellulomonas sp. HLT2-17,No curated GEM at species or genus level,NA,GTDB,No
245,Mycetocola miduiensis,No curated GEM at species or genus level,NA,GTDB,No
246,Proteiniphilum sp.,No curated GEM at species or genus level,NA,GTDB,No
247,Synergistaceae bacterium UBA4066,No curated GEM at species or genus level,NA,GTDB,No
248,Mesorhizobium sp. RMAD-H1,No curated GEM at species or genus level,NA,GTDB,No
249,Acidovorax sp. T1,No curated GEM at species or genus level,NA,GTDB,No
250,Thermomonas hydrothermalis,No curated GEM at species or genus level,NA,GTDB,No
251,Pseudonocardia endophytica,No curated GEM at species or genus level,NA,GTDB,No
252,Gemmobacter tilapiae,No curated GEM at species or genus level,NA,GTDB,No
253,Bordetella sp. FB-8,No curated GEM at species or genus level,NA,GTDB,No
254,Thiobacillus sp.,No curated GEM at species or genus level,NA,GTDB,No
255,Cyanobium sp. NS01,No curated GEM at species or genus level,NA,GTDB,No
256,Streptomyces tanashiensis,Genus,salb,GTDB,No
257,Streptomyces tanashiensis,Genus,sco,GTDB,No
258,Candidatus Oleimmundimicrobium americanum,No curated GEM at species or genus level,NA,GTDB,No
259,Anaerobutyricum hallii,No curated GEM at species or genus level,NA,GTDB,No
260,Acidipila sp. EB88,No curated GEM at species or genus level,NA,GTDB,No
261,Mycobacterium stomatepiae,No curated GEM at species or genus level,NA,GTDB,No
262,Shewanella sp. WE21,No curated GEM at species or genus level,NA,GTDB,No
263,Mycobacterium sp. ACS1612,No curated GEM at species or genus level,NA,GTDB,No
264,Falsiroseomonas frigidaquae,No curated GEM at species or genus level,NA,GTDB,No
265,Azoarcus sp. L1K30,No curated GEM at species or genus level,NA,GTDB,No
266,Algibacter sp. L1A34,No curated GEM at species or genus level,NA,GTDB,No
267,Deinococcus phoenicis,No curated GEM at species or genus level,NA,GTDB,No
268,Pedobacter mongoliensis,No curated GEM at species or genus level,NA,JGI GOLD,No
269,Pseudolabrys sp. Root1462,No curated GEM at species or genus level,NA,GTDB,No
270,Erwinia sp. QL-Z3,No curated GEM at species or genus level,NA,JGI GOLD,No
271,Gammaproteobacteria bacterium (ex Lamellibrachia satsuma),No curated GEM at species or genus level,NA,GTDB,No
272,Paraburkholderia phenoliruptrix,No curated GEM at species or genus level,NA,JGI GOLD,No
273,[Limnothrix rosea] IAM M-220,No curated GEM at species or genus level,NA,GTDB,No
274,Micromonospora narathiwatensis,No curated GEM at species or genus level,NA,GTDB,No
275,Stenotrophomonas sp. Pemsol,No curated GEM at species or genus level,NA,JGI GOLD,No
276,Lutibacter profundi,No curated GEM at species or genus level,NA,GTDB,No
277,Nocardioides sp. dk884,No curated GEM at species or genus level,NA,GTDB,No
278,Pseudonocardia bannensis,No curated GEM at species or genus level,NA,GTDB,No
279,Haloactinopolyspora alba,No curated GEM at species or genus level,NA,GTDB,No
280,Verrucomicrobiaceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
281,Talaromyces islandicus,No curated GEM at species or genus level,NA,Mycocosm,No
282,Roseateles sp. YR242,No curated GEM at species or genus level,NA,GTDB,No
283,Clostridium sp. AM58-1XD,Genus,ec_iHN637,GTDB,No
284,Porphyrobacter sp.,No curated GEM at species or genus level,NA,GTDB,No
285,Roseibium limicola,No curated GEM at species or genus level,NA,GTDB,No
286,Mesorhizobium sp. B2-1-8,No curated GEM at species or genus level,NA,JGI GOLD,No
287,Pantoea deserta,No curated GEM at species or genus level,NA,GTDB,No
288,Paenibacillus alba,No curated GEM at species or genus level,NA,GTDB,No
289,Sporosarcina beigongshangi,No curated GEM at species or genus level,NA,GTDB,No
290,Microbacterium sp. BLY,No curated GEM at species or genus level,NA,GTDB,No
291,Bacillaceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
292,Gordonia terrae,No curated GEM at species or genus level,NA,JGI GOLD,No
293,Deinococcus budaensis,No curated GEM at species or genus level,NA,GTDB,No
294,Mycobacterium colombiense,No curated GEM at species or genus level,NA,GTDB,No
295,Bryocella elongata,No curated GEM at species or genus level,NA,GTDB,No
296,Rhodococcus kyotonensis,Genus,iMT1174,GTDB,No
297,Christensenellaceae bacterium Phil1,No curated GEM at species or genus level,NA,GTDB,No
298,Streptomyces sp. Ag109_O5-1,Genus,salb,GTDB,No
299,Streptomyces sp. Ag109_O5-1,Genus,sco,GTDB,No
300,Halapricum salinum,No curated GEM at species or genus level,NA,GTDB,No
301,Pseudogemmobacter bohemicus,No curated GEM at species or genus level,NA,GTDB,No
302,Flavobacteriales bacterium UBA6057,No curated GEM at species or genus level,NA,GTDB,No
303,Streptomyces cupreus,Genus,salb,GTDB,No
304,Streptomyces cupreus,Genus,sco,GTDB,No
305,Sulfuricella sp. T08,No curated GEM at species or genus level,NA,GTDB,No
306,Sphingomonas sp. Root720,No curated GEM at species or genus level,NA,GTDB,No
307,Candidatus Accumulibacter contiguus,No curated GEM at species or genus level,NA,GTDB,No
308,Aliidiomarina soli,No curated GEM at species or genus level,NA,GTDB,No
309,Candidatus Onthenecus intestinigallinarum,No curated GEM at species or genus level,NA,GTDB,No
310,Flavihumibacter soli,No curated GEM at species or genus level,NA,GTDB,No
311,Rhizobiales bacterium Y(2018),No curated GEM at species or genus level,NA,GTDB,No
312,Burkholderiales bacterium Ga0077544,No curated GEM at species or genus level,NA,GTDB,No
313,Aquisalinus luteolus,No curated GEM at species or genus level,NA,GTDB,No
314,Legionellaceae bacterium UBA2794,No curated GEM at species or genus level,NA,GTDB,No
315,Micromonospora auratinigra,No curated GEM at species or genus level,NA,GTDB,No
316,Nonomuraea gerenzanensis,No curated GEM at species or genus level,NA,JGI GOLD,No
317,Trametes polyzona,No curated GEM at species or genus level,NA,Mycocosm,No
318,Dermabacteraceae bacterium TAE3-ERU27,No curated GEM at species or genus level,NA,GTDB,No
319,Nocardioides sp. Root1257,No curated GEM at species or genus level,NA,GTDB,No
320,Mobilicoccus massiliensis,No curated GEM at species or genus level,NA,GTDB,No
321,Arthrobacter sp. B0490,Genus,NA,GTDB,No
322,Sulfurospirillum sp.,No curated GEM at species or genus level,NA,GTDB,No
323,Pseudomonas amygdali,Genus,iJN746,GTDB,No
324,Pseudomonas amygdali,Genus,riPB890,GTDB,No
325,Pseudomonas amygdali,Genus,riJN746,GTDB,No
326,Pseudomonas amygdali,Genus,1YdBTEX2,GTDB,No
327,Pseudomonas amygdali,Genus,ec_iJN1463,GTDB,No
328,Pseudomonas amygdali,Genus,iJN1462,GTDB,No
329,Flavihumibacter solisilvae,No curated GEM at species or genus level,NA,GTDB,No
330,Gandjariella thermophila,No curated GEM at species or genus level,NA,GTDB,No
331,Thioalkalivibrio sulfidiphilus,No curated GEM at species or genus level,NA,GTDB,No
332,Chryseobacterium taklimakanense,No curated GEM at species or genus level,NA,GTDB,No
333,Pedobacter suwonensis,No curated GEM at species or genus level,NA,GTDB,No
334,Leifsonia sp. CL147,No curated GEM at species or genus level,NA,GTDB,No
335,Desulfosporosinus nitroreducens,No curated GEM at species or genus level,NA,JGI GOLD,No
336,Clostridium sp. MCC353,Genus,ec_iHN637,GTDB,No
337,Rhodobacteraceae bacterium WD3A24,No curated GEM at species or genus level,NA,GTDB,No
338,Synechococcus sp. RCC307,No curated GEM at species or genus level,NA,GTDB,No
339,Paenibacillus sp. UNC499MF,No curated GEM at species or genus level,NA,GTDB,No
340,Terriglobus albidus,No curated GEM at species or genus level,NA,GTDB,No
341,Prevotella sp. khp7,No curated GEM at species or genus level,NA,GTDB,No
342,Fuerstiella marisgermanici,No curated GEM at species or genus level,NA,GTDB,No
343,Pseudomonas sp. SLFW,Genus,iJN746,GTDB,No
344,Pseudomonas sp. SLFW,Genus,riPB890,GTDB,No
345,Pseudomonas sp. SLFW,Genus,riJN746,GTDB,No
346,Pseudomonas sp. SLFW,Genus,1YdBTEX2,GTDB,No
347,Pseudomonas sp. SLFW,Genus,ec_iJN1463,GTDB,No
348,Pseudomonas sp. SLFW,Genus,iJN1462,GTDB,No
349,Pseudonocardia sp. 73-21,No curated GEM at species or genus level,NA,GTDB,No
350,Pseudomonas wadenswilerensis,Genus,iJN746,GTDB,No
351,Pseudomonas wadenswilerensis,Genus,riPB890,GTDB,No
352,Pseudomonas wadenswilerensis,Genus,riJN746,GTDB,No
353,Pseudomonas wadenswilerensis,Genus,1YdBTEX2,GTDB,No
354,Pseudomonas wadenswilerensis,Genus,ec_iJN1463,GTDB,No
355,Pseudomonas wadenswilerensis,Genus,iJN1462,GTDB,No
356,Aeromonas popoffii,No curated GEM at species or genus level,NA,GTDB,No
357,Paenibacillus prosopidis,No curated GEM at species or genus level,NA,GTDB,No
358,Ensifer sp. ENS06,No curated GEM at species or genus level,NA,JGI GOLD,No
359,Photobacterium alginatilyticum,No curated GEM at species or genus level,NA,GTDB,No
360,Candidatus Scatomonas merdigallinarum,No curated GEM at species or genus level,NA,GTDB,No
361,Halomonas niordiana,Genus,NA,GTDB,No
362,Sutterella faecalis,No curated GEM at species or genus level,NA,GTDB,No
363,Knoellia sp. DB2414S,No curated GEM at species or genus level,NA,GTDB,No
364,Nocardioides daedukensis,No curated GEM at species or genus level,NA,GTDB,No
365,[Pseudopropionibacterium] massiliense,No curated GEM at species or genus level,NA,GTDB,No
366,Candidatus Reidiella endopervernicosa,No curated GEM at species or genus level,NA,GTDB,No
367,Synechococcus sp. KORDI-52,No curated GEM at species or genus level,NA,GTDB,No
368,Ruania suaedae,No curated GEM at species or genus level,NA,JGI GOLD,No
369,Allomuricauda sp.,No curated GEM at species or genus level,NA,GTDB,No
370,Maribacter cobaltidurans,No curated GEM at species or genus level,NA,GTDB,No
371,Anaeromassilibacillus sp. An200,No curated GEM at species or genus level,NA,GTDB,No
372,Mycobacteroides salmoniphilum,No curated GEM at species or genus level,NA,GTDB,No
373,Leptospira wolffii,No curated GEM at species or genus level,NA,JGI GOLD,No
374,Streptomyces brevispora,Genus,salb,GTDB,No
375,Streptomyces brevispora,Genus,sco,GTDB,No
376,Zygosaccharomyces rouxii,No curated GEM at species or genus level,NA,Mycocosm,No
377,Botryosphaeria dothidea,No curated GEM at species or genus level,NA,Mycocosm,No
378,Arthrobacter sp. KBS0702,Genus,NA,GTDB,No
379,Halosaccharopolyspora lacisalsi,No curated GEM at species or genus level,NA,GTDB,No
380,Exidia glandulosa,No curated GEM at species or genus level,NA,Mycocosm,No
381,Lentzea jiangxiensis,No curated GEM at species or genus level,NA,GTDB,No
382,Halomonas saliphila,Genus,NA,GTDB,No
383,Stenotrophomonas tumulicola,No curated GEM at species or genus level,NA,GTDB,No
384,Streptomyces sp. CB03234,Genus,salb,GTDB,No
