Additional File 3-1. Unique reactions involved in the in silico model of Rhodococcus jostii RHA1,,,,,,,,,,,
Name,ID,Definition,Equation,Directionality,Lower Bound,Upper Bound,EC No,ORF,Replaced Reaction,Reference,Note
D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),R01061,D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+,C00118 + C00009 + C00003 <=> C00236 + C00004 + C00080,1,-Inf,Inf,ec:1.2.1.12,"ro03427, ro07177",,"(Kanehisa, Goto et al. 2004)",
"beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",R01070,"beta-D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",C05378 <=> C00111 + C00118,1,-Inf,Inf,ec:4.1.2.13,ro05536,,"(Kanehisa, Goto et al. 2004)",
ATP:3-phospho-D-glycerate 1-phosphotransferase,R01512,ATP + 3-Phospho-D-glycerate <=> ADP + 3-Phospho-D-glyceroyl phosphate,C00002 + C00197 <=> C00008 + C00236,-1,-Inf,Inf,ec:2.7.2.3,ro07178,,"(Kanehisa, Goto et al. 2004)",
"2-Phospho-D-glycerate 2,3-phosphomutase",R01518,2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate,C00631 <=> C00197,-1,-Inf,Inf,ec:5.4.2.1,"ro01295, ro02070, ro03730, ro06349",,"(Kanehisa, Goto et al. 2004)",
ATP:beta-D-glucose 6-phosphotransferase,R01600,ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate,C00002 + C00221 <=> C00008 + C01172,1,0,Inf,ec:2.7.1.2,"ro01116, ro01359, ro04278, ro05185",,"(Kanehisa, Goto et al. 2004)",
D-Glucose 1-epimerase,R01602,alpha-D-Glucose <=> beta-D-Glucose,C00267 <=> C00221,1,-Inf,Inf,ec:5.1.3.3,ro04996,,"(Kanehisa, Goto et al. 2004)",
ATP:alpha-D-glucose 6-phosphotransferase,R01786,ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate,C00002 + C00267 <=> C00008 + C00668,1,0,Inf,ec:2.7.1.2,"ro01116, ro01359, ro04278, ro05185",,"(Kanehisa, Goto et al. 2004)",
acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase,R02569,Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine,C00024 + C15973 <=> C00010 + C16255,-1,0,Inf,ec:2.3.1.12,"ro01578, ro03319, ro03378",,"(Kanehisa, Goto et al. 2004)",
alpha-D-Glucose 6-phosphate ketol-isomerase,R02739,alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate,C00668 <=> C01172,1,-Inf,Inf,ec:5.3.1.9,"ro05567, ro11063, ro11167, ro11327",,"(Kanehisa, Goto et al. 2004)",
alpha-D-Glucose 6-phosphate ketol-isomerase,R02740,alpha-D-Glucose 6-phosphate <=> beta-D-Fructose 6-phosphate,C00668 <=> C05345,1,-Inf,Inf,ec:5.3.1.9,"ro05567, ro11063, ro11167, ro11327",,"(Kanehisa, Goto et al. 2004)",
,R03270,"2-(alpha-Hydroxyethyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + Thiamin diphosphate
",C05125 + C15972 <=> C16255 + C00068,1,0,Inf,ec:1.2.4.1,"ro00542, ro01197, ro01576, ro01577, ro02566, ro03305, ro03320, ro03321, ro03379, ro03380, ro08623, ro08624, ro11030, ro11031",,"(Kanehisa, Goto et al. 2004)",
beta-D-Glucose 6-phosphate ketol-isomerase,R03321,beta-D-Glucose 6-phosphate <=> beta-D-Fructose 6-phosphate,C01172 <=> C05345,1,-Inf,Inf,ec:5.3.1.9,"ro05567, ro11063, ro11167, ro11327",,"(Kanehisa, Goto et al. 2004)",
ATP:D-fructose-6-phosphate 1-phosphotransferase,R04779,"ATP + beta-D-Fructose 6-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate",C00002 + C05345 <=> C00008 + C05378,1,0,Inf,ec:2.7.1.11,ro06479,,"(Kanehisa, Goto et al. 2004)",
"beta-D-Fructose 1,6-bisphosphate 1-phosphohydrolase",R04780,"beta-D-Fructose 1,6-bisphosphate + H2O <=> beta-D-Fructose 6-phosphate + Orthophosphate",C05378 + C00001 <=> C05345 + C00009,1,0,Inf,ec:3.1.3.11,ro05865,,"(Kanehisa, Goto et al. 2004)",
enzyme N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase,R07618,Enzyme N6-(dihydrolipoyl)lysine + NAD+ <=> Enzyme N6-(lipoyl)lysine + NADH + H+,C15973 + C00003 <=> C15972 + C00004 + C00080,1,0,Inf,ec:1.8.1.4,"ro02140, ro02927, ro03318, ro03377, ro05562, ro06262, ro11024",,"(Kanehisa, Goto et al. 2004)",
oxalosuccinate carboxy-lyase (2-oxoglutarate-forming),R00268,Oxalosuccinate <=> 2-Oxoglutarate + CO2,C05379 <=> C00026 + C00011,1,-Inf,Inf,ec:1.1.1.42,"ro00618, ro06238",,"(Kanehisa, Goto et al. 2004)",
(S)-malate:NAD+ oxidoreductase,R00342,(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+,C00149 + C00003 <=> C00036 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.37,ro06244,,"(Kanehisa, Goto et al. 2004)",
Pyruvate:carbon-dioxide ligase (ADP-forming),R00344,ATP + Pyruvate + HCO3- <=> ADP + Orthophosphate + Oxaloacetate,C00002 + C00022 + C00288 <=> C00008 + C00009 + C00036,1,0,Inf,ec:6.4.1.1,ro06517,,"(Kanehisa, Goto et al. 2004)",
acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing),R00351,Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate,C00158 + C00010 <=> C00024 + C00001 + C00036,-1,0,Inf,ec:2.3.3.1,"ro00355, ro01610, ro04993, ro04998, ro06955, ro08450, ro08812",,"(Kanehisa, Goto et al. 2004)",
citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate); Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- -->acetate),R00362,"Citrate <=> Acetate + Oxaloacetate
",C00158 <=> C00033 + C00036,1,0,Inf,ec:4.1.3.6,"ro00185, ro00306, ro00662, ro00775, ro00778, ro02872, ro02943, ro05986, ro06099, ro06584",,"(Kanehisa, Goto et al. 2004)",
Succinate:CoA ligase (ADP-forming),R00405,"ATP + Succinate + CoA <=> ADP + Orthophosphate + Succinyl-CoA
",C00002 + C00042 + C00010 <=> C00008 + C00009 + C00091,-1,-Inf,Inf,ec:6.2.1.5,"ro05573, ro05574",,"(Kanehisa, Goto et al. 2004)",
(S)-malate hydro-lyase (fumarate-forming),R01082,"(S)-Malate <=> Fumarate + H2O
",C00149 <=> C00122 + C00001,-1,-Inf,Inf,ec:4.2.1.2,"ro05864, ro05899",,"(Kanehisa, Goto et al. 2004)",
citrate hydro-lyase (cis-aconitate-forming),R01325,"Citrate <=> cis-Aconitate + H2O
",C00158 <=> C00417 + C00001,1,-Inf,Inf,ec:4.2.1.3,"ro02399, ro07207, ro08266",,"(Kanehisa, Goto et al. 2004)",
Isocitrate:NADP+ oxidoreductase,R01899,"Isocitrate + NADP+ <=> Oxalosuccinate + NADPH + H+
",C00311 + C00006 <=> C05379 + C00005 + C00080,1,-Inf,Inf,ec:1.1.1.42,"ro00618, ro06238",,"(Kanehisa, Goto et al. 2004)",
isocitrate hydro-lyase (cis-aconitate-forming),R01900,"Isocitrate <=> cis-Aconitate + H2O
",C00311 <=> C00417 + C00001,-1,-Inf,Inf,ec:4.2.1.3,"ro02399, ro07207, ro08266",,"(Kanehisa, Goto et al. 2004)",
ATP:D-ribose-5-phosphate diphosphotransferase,R01049,ATP + D-Ribose 5-phosphate <=> AMP + 5-Phospho-alpha-D-ribose 1-diphosphate,C00002 + C00117 <=> C00020 + C00119,1,-Inf,Inf,ec:2.7.6.1,ro05723,,"(Kanehisa, Goto et al. 2004)",
ATP:D-ribose 5-phosphotransferase,R01051,ATP + D-Ribose <=> ADP + D-Ribose 5-phosphate,C00002 + C00121 <=> C00008 + C00117,1,0,Inf,ec:2.7.1.15,ro01303,,"(Kanehisa, Goto et al. 2004)",
D-ribose-5-phosphate aldose-ketose-isomerase,R01056,"D-Ribose 5-phosphate <=> D-Ribulose 5-phosphate
",C00117 <=> C00199,-1,-Inf,Inf,ec:5.3.1.6,"ro01378, ro02899",,"(Kanehisa, Goto et al. 2004)",
"D-Ribose 1,5-phosphomutase",R01057,"alpha-D-Ribose 1-phosphate <=> D-Ribose 5-phosphate
",C00620 <=> C00117,1,-Inf,Inf,ec:5.4.2.2,ro06413,,"(Kanehisa, Goto et al. 2004)",
2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming),R01066,2-Deoxy-D-ribose 5-phosphate <=> D-Glyceraldehyde 3-phosphate + Acetaldehyde,C00673 <=> C00118 + C00084,1,0,Inf,ec:4.1.2.4,ro02094,,"(Kanehisa, Goto et al. 2004)",
6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating),R01528,6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+,C00345 + C00006 <=> C00199 + C00011 + C00005 + C00080,1,0,Inf,ec:1.1.1.44,"ro00556, ro03668, ro07246, ro11061, ro11328",,"(Kanehisa, Goto et al. 2004)",
D-Ribulose-5-phosphate 3-epimerase,R01529,"D-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate
",C00199 <=> C00231,1,-Inf,Inf,ec:5.1.3.1,ro07167,,"(Kanehisa, Goto et al. 2004)",
ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase,R01541,ATP + 2-Dehydro-3-deoxy-D-gluconate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-gluconate,C00002 + C00204 <=> C00008 + C04442,1,0,Inf,ec:2.7.1.45,"ro02459, ro02785",,"(Kanehisa, Goto et al. 2004)",
D-Xylulose 5-phosphate D-glyceraldehyde-3-phosphate-lyase (adding phosphate; acetyl-phosphate-forming),R01621,D-Xylulose 5-phosphate + Orthophosphate <=> Acetyl phosphate + D-Glyceraldehyde 3-phosphate + H2O,C00231 + C00009 <=> C00227 + C00118 + C00001,1,0,Inf,ec:4.1.2.9,ro01493,,"(Kanehisa, Goto et al. 2004)",
Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase,R01641,Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Ribose 5-phosphate + D-Xylulose 5-phosphate,C05382 + C00118 <=> C00117 + C00231,-1,-Inf,Inf,ec:2.2.1.1,"ro00814, ro00815, ro03843, ro03844, ro07186",,"(Kanehisa, Goto et al. 2004)",
ATP:D-Gluconate 6-phosphotransferase,R01737,"ATP + D-Gluconic acid <=> ADP + 6-Phospho-D-gluconate
",C00002 + C00257 <=> C00008 + C00345,1,0,Inf,ec:2.7.1.12,"ro02362, ro03300",,"(Kanehisa, Goto et al. 2004)",
sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase,R01827,Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate,C05382 + C00118 <=> C00279 + C05345,1,-Inf,Inf,ec:2.2.1.2,"ro07185, ro08277",,"(Kanehisa, Goto et al. 2004)",
beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase,R01830,beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate,C05345 + C00118 <=> C00279 + C00231,-1,-Inf,Inf,ec:2.2.1.1,"ro00814, ro00815, ro03843, ro03844, ro07186",,"(Kanehisa, Goto et al. 2004)",
"6-Phospho-D-glucono-1,5-lactone lactonohydrolase",R02035,"D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate",C01236 + C00001 <=> C00345,1,0,Inf,ec:3.1.1.31,ro07182,,"(Kanehisa, Goto et al. 2004)",
6-Phospho-D-gluconate hydro-lyase(2-dehydro-3-deoxy-6-phospho-D-gluconate-forming),R02036,6-Phospho-D-gluconate <=> 2-Dehydro-3-deoxy-6-phospho-D-gluconate + H2O,C00345 <=> C04442 + C00001,1,0,Inf,ec:4.2.1.12,ro02368,,"(Kanehisa, Goto et al. 2004)",
beta-D-Glucose-6-phosphate:NADP+ 1-oxoreductase,R02736,"beta-D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+",C01172 + C00006 <=> C01236 + C00005 + C00080,1,0,Inf,ec:1.1.1.49,"ro00555, ro02369, ro05641, ro07184, ro11166, ro11332",,"(Kanehisa, Goto et al. 2004)",
,R02750,2-Deoxy-D-ribose 5-phosphate + ADP <=> Deoxyribose + ATP,C00673 + C00008 <=> C01801 + C00002,-1,0,Inf,ec:2.7.1.15,ro01303,,"(Kanehisa, Goto et al. 2004)",
2-dehydro-3-deoxy-D-gluconate-6-phosphate D-glyceraldehyde-3-phosphate-lyase,R05605,2-Dehydro-3-deoxy-6-phospho-D-gluconate <=> D-Glyceraldehyde 3-phosphate + Pyruvate,C04442 <=> C00118 + C00022,1,0,Inf,ec:4.1.2.14,"ro02367, ro02464, ro02786",,"(Kanehisa, Goto et al. 2004)",
UDP-glucose:NAD+ 6-oxidoreductase,R00286,UDP-glucose + H2O + 2 NAD+ <=> UDP-glucuronate + 2 NADH + 2 H+,C00029 + C00001 + 2 C00003 <=> C00167 + 2 C00004 + 2 C00080,1,0,Inf,ec:1.1.1.22,"ro05446, ro05455",,"(Kanehisa, Goto et al. 2004)",
UTP:alpha-D-glucose-1-phosphate uridylyltransferase,R00289,UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose,C00075 + C00103 <=> C00013 + C00029,1,-Inf,Inf,ec:2.7.7.9,"ro05437, ro05632",,"(Kanehisa, Goto et al. 2004)",
D-xylose aldose-ketose-isomerase,R01432,D-Xylose <=> D-Xylulose,C00181 <=> C00310,1,-Inf,Inf,ec:5.3.1.5,ro04090,,"(Kanehisa, Goto et al. 2004)",
D-altronate hydro-lyase (2-dehydro-3-deoxy-D-gluconate-forming),R01540,D-Altronate <=> 2-Dehydro-3-deoxy-D-gluconate + H2O,C00817 <=> C00204 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
ATP:D-xylulose 5-phosphotransferase,R01639,ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate,C00002 + C00310 <=> C00008 + C00231,1,0,Inf,ec:2.7.1.17,"ro02812, ro02901",,"(Kanehisa, Goto et al. 2004)",
ATP:L-xylulose 1-phosphotransferase,R01902,ATP + L-Xylulose <=> ADP + L-Xylulose 1-phosphate,C00002 + C00312 <=> C00008 + C06441,1,0,Inf,ec:2.7.1.5,ro04093,,"(Kanehisa, Goto et al. 2004)",
D-Mannonate:NAD+ 5-oxidoreductase,R02454,D-Mannonate + NAD+ <=> D-Fructuronate + NADH + H+,C00514 + C00003 <=> C00905 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.57,ro02788,,"(Kanehisa, Goto et al. 2004)",
D-arabino-hex-3-ulose-6-phosphate formaldehyde-lyase (D-ribulose-5-phosphate-forming),R05338,D-Ribulose 5-phosphate + Formaldehyde <=> D-arabino-3-Hexulose 6-phosphate,C00199 + C00067 <=> C06019,1,-Inf,Inf,ec:4.1.2.43,ro11329,,"(Kanehisa, Goto et al. 2004)",
D-arabino-hex-3-ulose-6-phosphate isomerase,R05339,D-arabino-3-Hexulose 6-phosphate <=> D-Fructose 6-phosphate,C06019 <=> C00085,1,-Inf,Inf,ec:5.3.1.27,"ro00488, ro11330",,"(Kanehisa, Goto et al. 2004)",
ATP:D-fructose 6-phosphotransferase,R00867,ATP + D-Fructose <=> ADP + beta-D-Fructose 6-phosphate,C00002 + C00095 <=> C00008 + C05345,1,0,Inf,ec:2.7.1.4,ro02811,,"(Kanehisa, Goto et al. 2004)",
D-Mannitol:NAD+ 2-oxidoreductase,R00868,Mannitol + NAD+ <=> D-Fructose + NADH + H+,C00392 + C00003 <=> C00095 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.67,ro02810,,"(Kanehisa, Goto et al. 2004)",
D-Glucitol:NAD+ 2-oxidoreductase,R00875,D-Sorbitol + NAD+ <=> D-Fructose + NADH + H+,C00794 + C00003 <=> C00095 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.14,"ro02784, ro02809, ro03291",,"(Kanehisa, Goto et al. 2004)",
alpha-D-Glucose aldose-ketose-isomerase,R00878,alpha-D-Glucose <=> D-Fructose,C00267 <=> C00095,1,-Inf,Inf,ec:5.3.1.5,ro04090,,"(Kanehisa, Goto et al. 2004)",
GTP:alpha-D-mannose-1-phosphate guanylyltransferase,R00885,GTP + D-Mannose 1-phosphate <=> Diphosphate + GDP-mannose,C00044 + C00636 <=> C00013 + C00096,1,0,Inf,ec:2.7.7.13,ro06307,,"(Kanehisa, Goto et al. 2004)",
"GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)",R00888,GDP-mannose <=> GDP-4-dehydro-6-deoxy-D-mannose + H2O,C00096 <=> C01222 + C00001,1,0,Inf,ec:4.2.1.47,ro05444,,"(Kanehisa, Goto et al. 2004)",
"D-Mannose 6-phosphate 1,6-phosphomutase",R01818,D-Mannose 6-phosphate <=> D-Mannose 1-phosphate,C00275 <=> C00636,1,-Inf,Inf,ec:5.4.2.8,"ro06256, ro06316",,"(Kanehisa, Goto et al. 2004)",
D-mannose-6-phosphate aldose-ketose-isomerase,R01819,D-Mannose 6-phosphate <=> beta-D-Fructose 6-phosphate,C00275 <=> C05345,1,-Inf,Inf,ec:5.3.1.8,"ro05436, ro06318",,"(Kanehisa, Goto et al. 2004)",
ATP:D-fructose-1-phosphate 6-phosphotransferase,R02071,"ATP + D-Fructose 1-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate",C00002 + C01094 <=> C00008 + C05378,1,0,Inf,ec:2.7.1.56,"ro00056, ro06783",,"(Kanehisa, Goto et al. 2004)",
D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,R02568,D-Fructose 1-phosphate <=> Glycerone phosphate + D-Glyceraldehyde,C01094 <=> C00111 + C00577,1,0,Inf,ec:4.1.2.13,ro05536,,"(Kanehisa, Goto et al. 2004)",
"GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)",R05692,GDP-L-fucose + NADP+ <=> GDP-4-dehydro-6-deoxy-D-mannose + NADPH + H+,C00325 + C00006 <=> C01222 + C00005 + C00080,-1,0,Inf,ec:1.1.1.271,ro05445,,"(Kanehisa, Goto et al. 2004)",
UDP-glucose 4-epimerase,R00291,UDP-glucose <=> UDP-D-galactose,C00029 <=> C00052,1,-Inf,Inf,ec:5.1.3.2,"ro02058, ro03648, ro04260, ro06809",,"(Kanehisa, Goto et al. 2004)",
sucrose glucohydrolase,R00801,Sucrose + H2O <=> D-Fructose + D-Glucose,C00089 + C00001 <=> C00095 + C00031,1,0,Inf,ec:3.2.1.20,"ro01389, ro04274",,"(Kanehisa, Goto et al. 2004)",
UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,R00955,UDP-glucose + alpha-D-Galactose 1-phosphate <=> D-Glucose 1-phosphate + UDP-D-galactose,C00029 + C00446 <=> C00103 + C00052,1,-Inf,Inf,ec:2.7.7.12,ro05491,,"(Kanehisa, Goto et al. 2004)",
ATP:D-galactose 1-phosphotransferase,R01092,ATP + D-Galactose <=> ADP + alpha-D-Galactose 1-phosphate,C00002 + C00124 <=> C00008 + C00446,1,0,Inf,ec:2.7.1.6,ro05490,,"(Kanehisa, Goto et al. 2004)",
D-Glucarate hydro-lyase,R02752,D-Glucarate <=> 5-Dehydro-4-deoxy-D-glucarate + H2O,C00818 <=> C00679 + C00001,-1,-Inf,Inf,ec:4.2.1.40,"ro03792, ro03934",,"(Kanehisa, Goto et al. 2004)",
5-Dehydro-4-deoxy-D-glucarate tartronate-semialdehyde-lyase,R02754,5-Dehydro-4-deoxy-D-glucarate <=> Pyruvate + 2-Hydroxy-3-oxopropanoate,C00679 <=> C00022 + C01146,-1,-Inf,Inf,ec:4.1.2.20,ro10284,,"(Kanehisa, Goto et al. 2004)",
D-Glucuronolactone:NAD+ oxidoreductase,R02957,D-Glucuronolactone + NAD+ + 2 H2O <=> D-Glucarate + NADH + H+,C02670 + C00003 + 2 C00001 <=> C00818 + C00004 + C00080,-1,-Inf,Inf,ec:1.2.1.3,"ro00340, ro00395, ro00646, ro02498, ro03066, ro03790, ro03974, ro04375, ro04663, ro05244, ro06081, ro06111, ro06275, ro06678, ro07077, ro08090, ro08151, ro08917, ro10302, ro11056",,"(Kanehisa, Goto et al. 2004)",
,R03277,2-Hydroxy-3-oxopropanoate + Pyruvate <=> 2-Dehydro-3-deoxy-D-glucarate,C01146 + C00022 <=> C03921,1,-Inf,Inf,ec:4.1.2.20,ro10284,,"(Kanehisa, Goto et al. 2004)",
D-galactarate hydro-lyase,R05608,D-Galactarate <=> 5-Dehydro-4-deoxy-D-glucarate + H2O,C00879 <=> C00679 + C00001,-1,-Inf,Inf,ec:4.2.1.42,ro08847,,"(Kanehisa, Goto et al. 2004)",
D-glucarate hydro-lyase,R08056,D-Glucarate <=> 2-Dehydro-3-deoxy-D-glucarate + H2O,C00818 <=> C03921 + C00001,-1,-Inf,Inf,ec:4.2.1.40,"ro03792, ro03934",,"(Kanehisa, Goto et al. 2004)",
acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase,R01624,Acetyl-CoA + Acyl-carrier protein <=> CoA + Acetyl-[acyl-carrier protein],C00024 + C00229 <=> C00010 + C03939,1,0,Inf,ec:2.3.1.180,"ro00057, ro00058, ro01257, ro02213",,"(Kanehisa, Goto et al. 2004)",
Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase,R01626,Malonyl-CoA + Acyl-carrier protein <=> CoA + Malonyl-[acyl-carrier protein],C00083 + C00229 <=> C00010 + C01209,1,0,Inf,ec:2.3.1.39,ro01199,,"(Kanehisa, Goto et al. 2004)",
Oleoyl-[acyl-carrier protein] hydrolase,R01706,Hexadecanoyl-[acp] + H2O <=> Acyl-carrier protein + Hexadecanoic acid,C05764 + C00001 <=> C00229 + C00249,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),R04355,Acetyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Acetoacetyl-[acp] + CO2 + Acyl-carrier protein,C03939 + C01209 <=> C05744 + C00011 + C00229,1,0,Inf,ec:2.3.1.180,"ro00057, ro00058, ro01257, ro02213",,"(Kanehisa, Goto et al. 2004)",
biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming),R04385,ATP + Holo-[carboxylase] + HCO3- <=> ADP + Orthophosphate + Carboxybiotin-carboxyl-carrier protein,C00002 + C06250 + C00288 <=> C00008 + C00009 + C04419,1,0,Inf,ec:6.3.4.14,"ro03742, ro06096, ro06282, ro08921, ro10399",,"(Kanehisa, Goto et al. 2004)",
Acetyl-CoA:carbon-dioxide ligase (ADP-forming),R04386,Acetyl-CoA + Carboxybiotin-carboxyl-carrier protein <=> Malonyl-CoA + Holo-[carboxylase],C00024 + C04419 <=> C00083 + C06250,1,-Inf,Inf,ec:6.4.1.2,"ro02935, ro05011, ro10399",,"(Kanehisa, Goto et al. 2004)",
